name,age,user_city,has_car,education_level,english,studies,job,company,job_city,salary_range,contract_type
Kathy Parker,19,Barcelona,True,High School,False,Mechanical Engineering,Data Analyst,DesignHub,Logroño,€1300-1500,Internship
Martin Peterson,24,Barcelona,True,High School,True,Business Administration,Sales Assistant,TravelX,Barcelona,€1300-1500,Full-time
Sean Phillips,24,Valencia,True,Vocational Training,False,Law,Sales Assistant,DesignHub,Sevilla,€1100-1300,Part-time
Amy Salazar,20,Madrid,False,Vocational Training,False,Business Administration,Sales Assistant,GlobalBiz,Zaragoza,€1100-1300,Full-time
Javier Reese,22,Madrid,False,High School,False,Education,Data Analyst,TravelX,Valencia,€1300-1500,Full-time
Kelly Estrada,23,Logroño,True,Vocational Training,True,Computer Science,Junior Developer,TechSolutions,Zaragoza,€900-1100,Internship
Michael Anderson,24,Barcelona,False,Bachelor,False,Tourism,Nurse Assistant,InnovaCorp,Logroño,€1100-1300,Full-time
Vincent Graves,19,Sevilla,False,Vocational Training,True,Marketing,Sales Assistant,DesignHub,Logroño,€1300-1500,Internship
Christopher Shea,23,Zaragoza,False,High School,True,Computer Science,Receptionist,GlobalBiz,Madrid,€900-1100,Full-time
Natalie Sherman,23,Logroño,False,Vocational Training,False,Graphic Design,Graphic Designer,GlobalBiz,Barcelona,€900-1100,Full-time
Rodney Rodriguez,22,Barcelona,True,Master,False,Tourism,Electrician Assistant,MediCare,Madrid,€900-1100,Internship
Joshua Vaughn,20,Madrid,False,Vocational Training,False,Law,Receptionist,TravelX,Sevilla,€1300-1500,Part-time
Robert Martinez,18,Madrid,False,High School,False,Tourism,Receptionist,InnovaCorp,Sevilla,€900-1100,Full-time
Robin Matthews,22,Zaragoza,True,Vocational Training,True,Nursing,Nurse Assistant,GlobalBiz,Zaragoza,€900-1100,Full-time
Joan Cox,18,Madrid,False,Bachelor,False,Computer Science,HR Assistant,InnovaCorp,Madrid,€900-1100,Full-time
Tim Hernandez,19,Zaragoza,True,High School,False,Business Administration,Sales Assistant,DesignHub,Sevilla,€1300-1500,Internship
Anna Valdez,22,Zaragoza,True,Master,True,Education,Teacher Assistant,MediCare,Logroño,€1300-1500,Part-time
Emily Jones,25,Barcelona,True,Master,True,Mechanical Engineering,Nurse Assistant,TechSolutions,Bilbao,€1300-1500,Internship
Kayla Morgan,21,Barcelona,True,High School,True,Computer Science,Junior Developer,GlobalBiz,Madrid,€1300-1500,Internship
Lisa Rodgers,22,Barcelona,False,Master,True,Education,Teacher Assistant,MediCare,Zaragoza,€1100-1300,Internship
Jonathan Martin,19,Sevilla,False,High School,False,Tourism,Graphic Designer,DesignHub,Madrid,€1300-1500,Full-time
Danielle Larson,19,Zaragoza,True,High School,False,Tourism,Marketing Intern,InnovaCorp,Barcelona,€1300-1500,Part-time
Bradley White,20,Sevilla,True,Master,True,Nursing,Data Analyst,MediCare,Zaragoza,€1300-1500,Internship
Brooke Vance,18,Barcelona,False,High School,True,Mechanical Engineering,Graphic Designer,MediCare,Barcelona,€1100-1300,Internship
Denise Cooper,20,Valencia,False,Master,True,Graphic Design,HR Assistant,MediCare,Logroño,€1300-1500,Full-time
Alex Sanders,25,Barcelona,True,Vocational Training,True,Nursing,Nurse Assistant,DesignHub,Valencia,€900-1100,Internship
Daniel Hughes,25,Madrid,True,Vocational Training,True,Education,Data Analyst,TravelX,Madrid,€1300-1500,Internship
William Salinas,24,Bilbao,True,High School,True,Law,Teacher Assistant,TechSolutions,Sevilla,€1300-1500,Full-time
Anna Newton,23,Barcelona,False,Bachelor,True,Tourism,Receptionist,InnovaCorp,Logroño,€1300-1500,Part-time
